Tipster,Date,Track,Horse,Bet Type,Odds,Result,TipsterActive
Tipster A,24-07-2015,Ascot,Fredricka,Win,8,Lose,TRUE
Tipster A,24-07-2015,Thirsk,Spend A Penny,Win,4.5,Lose,TRUE
Tipster A,24-07-2015,York,Straightothepoint,Win,7,Lose,TRUE
Tipster A,24-07-2015,Newmarket,Miss Inga Sock,Win,5,Lose,TRUE
Tipster A,25-07-2015,Ascot,Peril,Win,4.33,Win,TRUE
Tipster A,25-07-2015,York,Aldreth,Win,6,Lose,TRUE
Tipster A,25-07-2015,Newcastle,Niceonemyson,Win,6,Lose,TRUE
Tipster A,25-07-2015,Lingfield,Brandon Castle,Win,6,Lose,TRUE
Tipster A,26-07-2015,Carlisle,Sands Time,Win,5.5,Lose,TRUE
Tipster A,26-07-2015,Pontefract,Ad Dabaran,Win,2,Lose,TRUE
Tipster A,26-07-2015,Uttoxeter,Milgen Bay,Each Way,10,Lose,TRUE
Tipster A,01-08-2015,Thirsk,Gleese The Devil,Win,8,Lose,TRUE
Tipster A,01-08-2015,Hamilton,Especial,Win,6,Lose,TRUE
Tipster A,02-08-2015,Chepstow,Indian Affair,Win,6,Lose,TRUE
Tipster A,04-08-2015,Salisbury,Wild Desert,Win,3.25,Win,TRUE
Tipster A,04-08-2015,Catterick,Lets Twist,Win,2.75,Lose,TRUE
Tipster A,04-08-2015,Chelmsford,Berti Blue Boy,Win,3.5,Lose,TRUE
Tipster A,05-08-2015,Brighton,Shes Invincible,Win,3.25,Lose,TRUE
Tipster A,05-08-2015,Newcastle,Pacngo,Win,3.25,Lose,TRUE
Tipster A,06-08-2015,Wolverhampton,Honiton Lace,Each Way,11,Lose,TRUE
Tipster A,14-08-2015,Newmarket,Cultrail,Win,1.8,Lose,TRUE
Tipster A,15-08-2015,Newbury,Withernsea,Win,4,Lose,TRUE
Tipster A,15-08-2015,Newbury,Cable Bay,Each Way,7.5,Lose,TRUE
Tipster A,15-08-2015,Newbury,Albert Bridge,Win,4.5,Win,TRUE
Tipster A,15-08-2015,Market Rasen,Towering,Win,3.25,Lose,TRUE
Tipster A,16-08-2015,Tramore,Patsio,Each Way,8,Lose,TRUE
Tipster A,16-08-2015,Tramore,Illtakeitfromhere,Win,2.5,Lose,TRUE
Tipster A,18-08-2015,Leicester,El Astrounote,Win,11,Win,TRUE
Tipster A,18-08-2015,Chelmsford,Golden Ambers,Each Way,11,Win,TRUE
Tipster A,18-08-2015,Chelmsford,Trimoulet,Win,3.25,Lose,TRUE
Tipster A,19-08-2015,York,Bondi Beach,Win,5,Lose,TRUE
Tipster A,19-08-2015,Ffos Las,Sir Billy Wright,Win,4.33,Win,TRUE
Tipster A,19-08-2015,York,Quick N Quirky,Each Way,21.1,Lose,TRUE
Tipster A,19-08-2015,Worcester,At First Light,Each Way,9,Win,TRUE
Tipster A,20-08-2015,York,Mussadas,Each Way,8,Lose,TRUE
Tipster A,20-08-2015,York,Covert Love,Win,4,Lose,TRUE
Tipster A,20-08-2015,York,Koora,Each Way,11,Win,TRUE
Tipster A,20-08-2015,York,Mistrusting,Win,4.5,Win,TRUE
Tipster A,21-08-2015,Sandown,Royal Toast,Each Way,9,Win,TRUE
Tipster A,22-08-2015,York,Top Notch Tonto,Each Way,8,Lose,TRUE
