,id,title,original_title
0,278,The Shawshank Redemption,The Shawshank Redemption
1,238,The Godfather,The Godfather
2,240,The Godfather Part II,The Godfather Part II
3,424,Schindler's List,Schindler's List
4,389,12 Angry Men,12 Angry Men
5,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
6,129,Spirited Away,千と千尋の神隠し
7,155,The Dark Knight,The Dark Knight
8,496243,Parasite,기생충
9,497,The Green Mile,The Green Mile
10,372058,Your Name.,君の名は。
11,680,Pulp Fiction,Pulp Fiction
12,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
13,13,Forrest Gump,Forrest Gump
14,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
15,769,GoodFellas,GoodFellas
16,346,Seven Samurai,七人の侍
17,12477,Grave of the Fireflies,火垂るの墓
18,637,Life Is Beautiful,La vita è bella
19,11216,Cinema Paradiso,Nuovo Cinema Paradiso
20,278,The Shawshank Redemption,The Shawshank Redemption
21,238,The Godfather,The Godfather
22,240,The Godfather Part II,The Godfather Part II
23,424,Schindler's List,Schindler's List
24,389,12 Angry Men,12 Angry Men
25,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
26,129,Spirited Away,千と千尋の神隠し
27,155,The Dark Knight,The Dark Knight
28,496243,Parasite,기생충
29,497,The Green Mile,The Green Mile
30,372058,Your Name.,君の名は。
31,680,Pulp Fiction,Pulp Fiction
32,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
33,13,Forrest Gump,Forrest Gump
34,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
35,769,GoodFellas,GoodFellas
36,346,Seven Samurai,七人の侍
37,12477,Grave of the Fireflies,火垂るの墓
38,637,Life Is Beautiful,La vita è bella
39,11216,Cinema Paradiso,Nuovo Cinema Paradiso
40,278,The Shawshank Redemption,The Shawshank Redemption
41,238,The Godfather,The Godfather
42,240,The Godfather Part II,The Godfather Part II
43,424,Schindler's List,Schindler's List
44,389,12 Angry Men,12 Angry Men
45,19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे
46,129,Spirited Away,千と千尋の神隠し
47,155,The Dark Knight,The Dark Knight
48,496243,Parasite,기생충
49,497,The Green Mile,The Green Mile
50,372058,Your Name.,君の名は。
51,680,Pulp Fiction,Pulp Fiction
52,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
53,13,Forrest Gump,Forrest Gump
54,429,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo"
55,769,GoodFellas,GoodFellas
56,346,Seven Samurai,七人の侍
57,12477,Grave of the Fireflies,火垂るの墓
58,637,Life Is Beautiful,La vita è bella
59,11216,Cinema Paradiso,Nuovo Cinema Paradiso
60,278,The Shawshank Redemption,The Shawshank Redemption
61,238,The Godfather,The Godfather
62,240,The Godfather Part II,The Godfather Part II
63,424,Schindler's List,Schindler's List
64,389,12 Angry Men,12 Angry Men
